DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:54:52 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:54:52 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:52 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 10 23:54:53 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:53 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:54:53 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:54:54 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 10 23:54:54 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 10 23:54:55 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 10 23:54:55 2019
DEBUG ; Parallax::Camara 1 inicializada ; Mon Jun 10 23:54:58 2019
DEBUG ; Parallax::Camara 2 inicializada ; Mon Jun 10 23:54:58 2019
DEBUG ; Parallax::Camara 3 inicializada ; Mon Jun 10 23:54:58 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:54:59 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:54:59 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:54:59 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Mon Jun 10 23:55:00 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Mon Jun 10 23:55:00 2019
