DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:21 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:21 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:22 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:22 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:23 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:23 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:23 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:23 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:24 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:24 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:24 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:25 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:25 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:25 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:26 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:26 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:27 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:27 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:28 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:28 2019
DEBUG ; Juego::Cambio de jugador del equipo 1 ; Wed Jun 26 00:15:30 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:34 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:35 2019
DEBUG ; Juego::Cambio de jugador del equipo 1 ; Wed Jun 26 00:15:36 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:36 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:36 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:37 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:37 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:38 2019
DEBUG ; Juego::Jugador 2 agachado ; Wed Jun 26 00:15:38 2019
