Archivo de logging creado! ; Sun Apr  7 19:56:21 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:33 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 salta ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 1 a la izquierda ; Sun Apr  7 19:56:34 2019
DEBUG ; Jugador 2 a la izquierda ; Sun Apr  7 19:56:34 2019
