INFO ; Archivo de logging creado! ; Mon Jun 24 22:56:34 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:28 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:29 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:31 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:32 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:33 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:35 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:36 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:37 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:39 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:42 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:44 2019
DEBUG ; Juego::Cambio de jugador del equipo 1 ; Mon Jun 24 22:58:49 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:51 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:53 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:55 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:57 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:58:58 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:00 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:02 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:03 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:05 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:06 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:08 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 22:59:10 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:17 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:18 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:30 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:32 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:36 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:37 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:39 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:41 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:42 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:45 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:46 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 22:59:48 2019
DEBUG ; Juego::Jugador 2 salta ; Mon Jun 24 23:02:20 2019
DEBUG ; Juego::Cambio de jugador del equipo 1 ; Mon Jun 24 23:02:23 2019
DEBUG ; Juego::Cambio de jugador del equipo 1 ; Mon Jun 24 23:02:24 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:25 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:25 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:27 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:28 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:29 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:31 2019
DEBUG ; Juego::Jugador 1 salta ; Mon Jun 24 23:02:32 2019
INFO ; Servidor::Se desconecto el cliente 1 ; Mon Jun 24 23:04:43 2019
