DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:22 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:22 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:23 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:24 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:24 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:25 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:25 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:25 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:25 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:26 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:26 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:27 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Personaje se mueve a la izquierda ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje:: Personaje en el limite izquierdo. Se corre el oponente a la derecha ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:28 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Ambos jugadores en el borde de la pantalla. ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:29 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:30 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:31 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:32 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje se mueve a la derecha ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Personaje::Personaje en el limite derecho. Se corre el oponente a la izquierda ; Tue May 21 14:33:33 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:33 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:34 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
DEBUG ; Juego::Jugador 1 salta ; Tue May 21 14:33:35 2019
